employee_id,institution_id,project_id,job_role_id,dob,gender,years_of_experience,department,primary_language,ethinicity,attended_educational_institutes,performance_score,performance_class,predicted_performance_score,predicted_performance_class,no_nopay_leave,average_response_time,meetings_attended,learning_hours,team_interaction_frequency,avg_punctuality,avg_problem_solving,avg_leadership,avg_collaboration,avg_communication,avg_overall_behavior_rating,manager_behavior_rating,peer_behavior_rating,subordinate_behavior_rating,feedback_text_combined,sentiment_proxy_score,communication_keyword_score,leadership_keyword_score,collaboration_keyword_score,rating_variance,leadership_pattern,productivity_pattern,communication_pattern,collaboration_pattern,learning_pattern,overall_behavior_pattern
E001,I01,P001,PM,1996-12-18,M,1,Management,English,Sinhalese,['Nalanda College'],73.55,Medium,73.09,Medium,0,23,11,8,5,4.666666666666667,5.0,2.3333333333333335,3.3333333333333335,2.0,3.466666666666667,3.6,3.2,3.6,"He has met most expectations during this cycle, although there are still areas where consistency can improve. Time discipline is a strength, and scheduled discussions or deliverables are usually respected. Communication should improve because missing or late updates can delay decisions. In project management responsibilities, he tracks project risks carefully, but needs to balance delivery pressure with team input. This assessment is based on observed delivery, team interaction, and the quality of contribution during the cycle. Overall, he meets many expectations, but more consistency would make the appraisal stronger. Working with him is generally manageable, although communication and follow-up can vary depending on workload. Time discipline is a strength, and scheduled discussions or deliverables are usually respected. Communication should improve because missing or late updates can delay decisions. In project management responsibilities, he keeps the team aligned, but could delegate decisions more consistently. Peer collaboration would improve further if he shared blockers earlier. Overall, he meets many expectations, but more consistency would make the appraisal stronger. From a subordinate perspective, he is generally supportive, although decisions are sometimes communicated late. Problem solving is strong, especially when unexpected issues require practical decisions. Communication should improve because missing or late updates can delay decisions. In project management responsibilities, he coordinates stakeholders effectively, but sometimes centralizes discussion. The guidance received from him influences how confidently others handle their tasks. Overall, he meets many expectations, but more consistency would make the appraisal stronger.",-0.05,10,7,6,0.05,Low Leadership Visibility,Stable Productivity Pattern,Communication Improvement Needed,Moderate Collaboration Pattern,Moderate Learning Pattern,Communication Development Required
E002,I01,P001,SE,1990-02-08,M,10,Engineering,Tamil,Sinhalese,['Jaffna Hindu'],66.13,Medium,66.5,Medium,0,26,20,7,3,4.333333333333333,5.0,1.3333333333333333,3.3333333333333335,4.0,3.6,3.4,4.0,3.4,"He has completed assigned responsibilities at an acceptable level, but stronger follow-through would improve overall contribution. Problem solving is strong, especially when unexpected issues require practical decisions. Leadership impact is limited, and more ownership is needed during planning and decision-making. In software engineering tasks, he handles implementation details carefully, but should take more ownership during complex defects. The rating reflects both measurable work output and observed behaviour in project situations. Overall, he meets many expectations, but more consistency would make the appraisal stronger. As a peer, I see him as capable, but he could be more consistent in sharing progress with the team. Time discipline is a strength, and scheduled discussions or deliverables are usually respected. Leadership impact is limited, and more ownership is needed during planning and decision-making. In software engineering tasks, he supports debugging discussions, but sometimes delays status updates. He is generally approachable, although response quality changes when workload increases. Overall, he meets many expectations, but more consistency would make the appraisal stronger. He helps the team progress, but there are areas where communication and delegation could improve. Problem solving is strong, especially when unexpected issues require practical decisions. Leadership impact is limited, and more ownership is needed during planning and decision-making. In software engineering tasks, he clarifies technical dependencies, but needs to improve estimation accuracy. He usually treats questions professionally, but more open discussion would help junior members. Overall, he meets many expectations, but more consistency would make the appraisal stronger.",0.12,6,12,5,0.12,Low Leadership Visibility,Stable Productivity Pattern,Clear and Responsive Communicator,Moderate Collaboration Pattern,Moderate Learning Pattern,Balanced Contributor
E003,I01,P001,SE,1990-04-21,M,9,Engineering,Sinhala,Tamil,['Holy Family'],73.78,Medium,71.98,Medium,4,45,19,8,3,4.0,3.0,4.333333333333333,2.3333333333333335,4.333333333333333,3.6,4.0,3.4,3.4,"He has completed assigned responsibilities at an acceptable level, but stronger follow-through would improve overall contribution. Leadership is visible through initiative, guidance, and willingness to take responsibility. Collaboration is acceptable, although coordination could be more proactive. In software engineering tasks, he writes maintainable code, but sometimes delays status updates. The rating reflects both measurable work output and observed behaviour in project situations. Overall, he meets many expectations, but more consistency would make the appraisal stronger. As a peer, I see him as capable, but he could be more consistent in sharing progress with the team. Time discipline is a strength, and scheduled discussions or deliverables are usually respected. Communication is generally understandable, but updates are not always timely or complete. In software engineering tasks, he writes maintainable code, but could document changes more consistently. He is generally approachable, although response quality changes when workload increases. Overall, he meets many expectations, but more consistency would make the appraisal stronger. He provides direction when needed, but the level of guidance can vary depending on project pressure. Communication is clear and timely, which helps the team understand progress and risks. Collaboration needs improvement because gaps in follow-up can create confusion for others. In software engineering tasks, he supports debugging discussions, but sometimes delays status updates. The guidance received from him influences how confidently others handle their tasks. Overall, he meets many expectations, but more consistency would make the appraisal stronger.",0.23,9,7,7,0.12,Strong Leadership Pattern,Stable Productivity Pattern,Moderate Communication Pattern,Collaboration Support Needed,Moderate Learning Pattern,Teamwork Development Required
E004,I01,P001,SE,1985-11-03,M,4,Engineering,Sinhala,Tamil,['DS Senanayake'],56.78,Medium,58.33,Medium,3,41,17,5,2,3.3333333333333335,2.6666666666666665,5.0,3.3333333333333335,1.6666666666666667,3.1999999999999997,2.8,3.0,3.8,"He has shown potential, but several gaps in execution and communication affected the team’s workflow. Communication should improve because missing or late updates can delay decisions. Collaboration needs improvement because gaps in follow-up can create confusion for others. In software engineering tasks, he shows potential, but sometimes delays status updates. The rating reflects both measurable work output and observed behaviour in project situations. Overall, he needs focused improvement and closer review in the next appraisal cycle. He has technical or functional ability, but gaps in coordination sometimes create additional effort for others. Communication should improve because missing or late updates can delay decisions. Punctuality needs improvement because delays sometimes affect coordination and planning. In software engineering tasks, he shows potential, but could document changes more consistently. The team can work with him effectively when expectations are clear. Overall, he needs focused improvement and closer review in the next appraisal cycle. He helps the team progress, but there are areas where communication and delegation could improve. Time discipline is a strength, and scheduled discussions or deliverables are usually respected. Communication should improve because missing or late updates can delay decisions. In software engineering tasks, he writes maintainable code, but could document changes more consistently. Team members benefit when he explains decisions clearly instead of only giving instructions. Overall, he meets many expectations, but more consistency would make the appraisal stronger.",-0.57,11,4,8,0.28,Strong Leadership Pattern,Stable Productivity Pattern,Communication Improvement Needed,Moderate Collaboration Pattern,Moderate Learning Pattern,Communication Development Required
E005,I01,P001,SE,1985-11-03,F,10,Engineering,Sinhala,Sinhalese,['Royal College'],66.8,Medium,66.18,Medium,0,29,34,7,5,1.3333333333333333,3.6666666666666665,3.3333333333333335,4.666666666666667,2.3333333333333335,3.0666666666666664,2.6,3.4,3.2,"She requires closer follow-up to ensure assigned responsibilities are completed with the expected level of quality. Punctuality needs improvement because delays sometimes affect coordination and planning. Communication should improve because missing or late updates can delay decisions. In software engineering tasks, she shows potential, but needs to improve estimation accuracy. This assessment is based on observed delivery, team interaction, and the quality of contribution during the cycle. Overall, she needs focused improvement and closer review in the next appraisal cycle. As a peer, I see her as capable, but she could be more consistent in sharing progress with the team. Leadership is visible through initiative, guidance, and willingness to take responsibility. Punctuality needs improvement because delays sometimes affect coordination and planning. In software engineering tasks, she writes maintainable code, but needs to improve estimation accuracy. Peer collaboration would improve further if she shared blockers earlier. Overall, she meets many expectations, but more consistency would make the appraisal stronger. She helps the team progress, but there are areas where communication and delegation could improve. Problem solving is strong, especially when unexpected issues require practical decisions. Punctuality needs improvement because delays sometimes affect coordination and planning. In software engineering tasks, she writes maintainable code, but sometimes delays status updates. She usually treats questions professionally, but more open discussion would help junior members. Overall, she meets many expectations, but more consistency would make the appraisal stronger.",-0.6,6,6,10,0.17,Emerging Leadership Pattern,Stable Productivity Pattern,Communication Improvement Needed,Strong Team Collaboration Pattern,Moderate Learning Pattern,Communication Development Required
E006,I01,P001,QA,1990-11-22,M,8,QA,Sinhala,Sinhalese,"[""St. John's College""]",68.68,Medium,67.92,Medium,3,40,16,5,5,4.333333333333333,4.666666666666667,4.333333333333333,4.0,4.0,4.266666666666667,3.6,4.6,4.6,"He has completed assigned responsibilities at an acceptable level, but stronger follow-through would improve overall contribution. Time discipline is a strength, and scheduled discussions or deliverables are usually respected. Communication is generally understandable, but updates are not always timely or complete. In quality assurance responsibilities, he supports release validation well, but should communicate blockers earlier. The rating reflects both measurable work output and observed behaviour in project situations. Overall, he meets many expectations, but more consistency would make the appraisal stronger. As a peer, I find him reliable during collaborative work and willing to support others when issues arise. Problem solving is strong, especially when unexpected issues require practical decisions. Leadership is visible through initiative, guidance, and willingness to take responsibility. In quality assurance responsibilities, he identifies defects clearly and shows awareness of how his work affects project delivery. Peer collaboration would improve further if he shared blockers earlier. Overall, he is viewed as a dependable contributor, with only minor areas to refine as responsibilities increase. He provides clear guidance and usually makes expectations easy for others to understand. Time discipline is a strength, and scheduled discussions or deliverables are usually respected. Problem solving is strong, especially when unexpected issues require practical decisions. In quality assurance responsibilities, he supports release validation well and shows awareness of how his work affects project delivery. He usually treats questions professionally, but more open discussion would help junior members. Overall, he is viewed as a dependable contributor, with only minor areas to refine as responsibilities increase.",0.76,5,7,8,0.33,Strong Leadership Pattern,Stable Productivity Pattern,Moderate Communication Pattern,Strong Team Collaboration Pattern,Moderate Learning Pattern,Collaborative Leader
E007,I01,P001,QA,1993-06-24,F,3,QA,English,Sinhalese,['Holy Family'],70.78,Medium,69.68,Medium,0,46,30,6,3,4.666666666666667,2.3333333333333335,2.0,3.0,3.0,3.0,3.0,3.2,2.8,"She has faced difficulty maintaining consistent delivery during this cycle, particularly when work became time-sensitive. Leadership impact is limited, and more ownership is needed during planning and decision-making. Problem solving needs development, particularly when issues are unclear or require independent analysis. In quality assurance responsibilities, she shows potential, but could improve test documentation consistency. Further improvement should be tracked through upcoming sprint outcomes and communication patterns. Overall, she needs focused improvement and closer review in the next appraisal cycle. She contributes to the team, but there are moments where clearer coordination would make collaboration easier. Time discipline is a strength, and scheduled discussions or deliverables are usually respected. Communication should improve because missing or late updates can delay decisions. In quality assurance responsibilities, she maintains useful test coverage, but needs stronger attention to edge cases. She is generally approachable, although response quality changes when workload increases. Overall, she meets many expectations, but more consistency would make the appraisal stronger. She sometimes gives unclear direction, which can make it difficult for others to prioritize work confidently. Problem solving needs development, particularly when issues are unclear or require independent analysis. Communication is generally understandable, but updates are not always timely or complete. In quality assurance responsibilities, she shows potential, but sometimes needs faster turnaround on retesting. She usually treats questions professionally, but more open discussion would help junior members. Overall, she needs focused improvement and closer review in the next appraisal cycle.",-0.33,7,5,4,0.04,Low Leadership Visibility,Stable Productivity Pattern,Moderate Communication Pattern,Moderate Collaboration Pattern,Moderate Learning Pattern,Balanced Contributor
E008,I01,P001,DevOps,1987-12-08,M,3,Operations,English,Sinhalese,['Jaffna Hindu'],63.08,Medium,63.03,Medium,0,55,32,10,5,2.6666666666666665,5.0,3.0,2.0,4.333333333333333,3.4,3.2,4.2,2.8,"He has met most expectations during this cycle, although there are still areas where consistency can improve. Problem solving is strong, especially when unexpected issues require practical decisions. Collaboration needs improvement because gaps in follow-up can create confusion for others. In DevOps and operational responsibilities, he communicates operational risks clearly, but should improve handover notes. The rating reflects both measurable work output and observed behaviour in project situations. Overall, he meets many expectations, but more consistency would make the appraisal stronger. Working with him has generally been a positive experience because he contributes constructively during team tasks. Problem solving is strong, especially when unexpected issues require practical decisions. Communication is clear and timely, which helps the team understand progress and risks. In DevOps and operational responsibilities, he communicates operational risks clearly and shows awareness of how his work affects project delivery. He is generally approachable, although response quality changes when workload increases. Overall, he is viewed as a dependable contributor, with only minor areas to refine as responsibilities increase. From a subordinate perspective, he needs to improve communication around decisions and expectations. Collaboration needs improvement because gaps in follow-up can create confusion for others. Punctuality needs improvement because delays sometimes affect coordination and planning. In DevOps and operational responsibilities, he shows potential, but should improve handover notes. He usually treats questions professionally, but more open discussion would help junior members. Overall, he needs focused improvement and closer review in the next appraisal cycle.",-0.25,5,3,6,0.52,Emerging Leadership Pattern,Stable Productivity Pattern,Moderate Communication Pattern,Collaboration Support Needed,Active Learning Pattern,Teamwork Development Required
E009,I01,P002,PM,2002-08-23,M,3,Management,English,Tamil,['Musaeus College'],62.98,Medium,63.09,Medium,4,34,18,7,3,1.6666666666666667,4.666666666666667,2.6666666666666665,5.0,4.0,3.6,3.2,3.6,4.0,"He has met most expectations during this cycle, although there are still areas where consistency can improve. Problem solving is strong, especially when unexpected issues require practical decisions. Punctuality needs improvement because delays sometimes affect coordination and planning. In project management responsibilities, he keeps the team aligned, but sometimes centralizes discussion. The rating reflects both measurable work output and observed behaviour in project situations. Overall, he meets many expectations, but more consistency would make the appraisal stronger. As a peer, I see him as capable, but he could be more consistent in sharing progress with the team. Collaboration is effective, and team members are usually included in relevant discussions. Leadership impact is limited, and more ownership is needed during planning and decision-making. In project management responsibilities, he tracks project risks carefully, but sometimes centralizes discussion. Peer collaboration would improve further if he shared blockers earlier. Overall, he meets many expectations, but more consistency would make the appraisal stronger. From a subordinate perspective, he is generally supportive, although decisions are sometimes communicated late. Problem solving is strong, especially when unexpected issues require practical decisions. Punctuality needs improvement because delays sometimes affect coordination and planning. In project management responsibilities, he supports planning discussions well, but could delegate decisions more consistently. He usually treats questions professionally, but more open discussion would help junior members. Overall, he meets many expectations, but more consistency would make the appraisal stronger.",0.12,5,7,13,0.16,Low Leadership Visibility,Stable Productivity Pattern,Moderate Communication Pattern,Moderate Collaboration Pattern,Moderate Learning Pattern,Balanced Contributor
E010,I01,P002,SE,1998-02-27,F,4,Engineering,Sinhala,Sinhalese,['Ananda College'],71.33,Medium,70.06,Medium,4,46,12,5,5,3.0,1.3333333333333333,4.0,3.3333333333333335,5.0,3.3333333333333335,3.2,3.4,3.4,"She shows useful capability in software engineering tasks, though performance is not yet consistent across all situations. Communication is clear and timely, which helps the team understand progress and risks. Problem solving needs development, particularly when issues are unclear or require independent analysis. In software engineering tasks, she clarifies technical dependencies, but needs to improve estimation accuracy. The rating reflects both measurable work output and observed behaviour in project situations. Overall, she meets many expectations, but more consistency would make the appraisal stronger. As a peer, I see her as capable, but she could be more consistent in sharing progress with the team. Communication is clear and timely, which helps the team understand progress and risks. Problem solving needs development, particularly when issues are unclear or require independent analysis. In software engineering tasks, she clarifies technical dependencies, but should take more ownership during complex defects. She is generally approachable, although response quality changes when workload increases. Overall, she meets many expectations, but more consistency would make the appraisal stronger. She provides direction when needed, but the level of guidance can vary depending on project pressure. Communication is clear and timely, which helps the team understand progress and risks. Problem solving needs development, particularly when issues are unclear or require independent analysis. In software engineering tasks, she writes maintainable code, but sometimes delays status updates. The guidance received from her influences how confidently others handle their tasks. Overall, she meets many expectations, but more consistency would make the appraisal stronger.",0.05,5,4,5,0.01,Strong Leadership Pattern,Stable Productivity Pattern,Moderate Communication Pattern,Moderate Collaboration Pattern,Moderate Learning Pattern,Balanced Contributor
